IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.20.6.169,4,2,0.50,229.48,0.00,N/A
104.17.182.75,4,2,0.50,230.57,0.00,N/A
104.16.215.28,4,2,0.50,230.80,0.00,N/A
104.17.184.201,4,2,0.50,230.95,0.00,N/A
104.17.180.220,4,2,0.50,230.95,0.00,N/A
104.17.214.198,4,2,0.50,230.95,0.00,N/A
104.16.213.3,4,2,0.50,230.96,0.00,N/A
104.20.52.90,4,2,0.50,231.15,0.00,N/A
104.17.187.22,4,2,0.50,231.33,0.00,N/A
104.19.20.237,4,2,0.50,231.52,0.00,N/A
104.29.156.68,4,2,0.50,231.54,0.00,N/A
104.25.128.16,4,2,0.50,231.83,0.00,N/A
104.17.185.54,4,2,0.50,231.88,0.00,N/A
172.64.189.155,4,2,0.50,232.38,0.00,N/A
172.66.177.247,4,2,0.50,232.54,0.00,N/A
104.17.201.223,4,2,0.50,232.60,0.00,N/A
104.25.33.52,4,2,0.50,233.07,0.00,N/A
172.67.69.44,4,2,0.50,233.07,0.00,N/A
104.17.200.85,4,2,0.50,233.25,0.00,N/A
104.20.58.228,4,2,0.50,236.07,0.00,N/A
162.159.143.129,4,2,0.50,236.59,0.00,N/A
104.20.50.225,4,2,0.50,237.51,0.00,N/A
104.25.185.175,4,2,0.50,237.77,0.00,N/A
172.67.73.248,4,2,0.50,240.32,0.00,N/A
104.26.4.183,4,2,0.50,241.93,0.00,N/A
104.20.20.114,4,2,0.50,242.32,0.00,N/A
104.20.18.65,4,2,0.50,242.50,0.00,N/A
172.66.144.80,4,2,0.50,243.88,0.00,N/A
104.20.61.41,4,2,0.50,244.52,0.00,N/A
104.25.174.235,4,2,0.50,245.64,0.00,N/A
104.17.82.251,4,2,0.50,246.42,0.00,N/A
172.67.72.156,4,2,0.50,257.96,0.00,N/A
104.25.150.32,4,2,0.50,261.24,0.00,N/A
104.29.152.72,4,2,0.50,265.94,0.00,N/A
104.20.31.222,4,2,0.50,302.89,0.00,N/A
104.25.23.75,4,2,0.50,304.63,0.00,N/A
104.29.136.177,4,2,0.50,355.43,0.00,N/A
162.159.34.117,4,1,0.75,76.35,0.00,N/A
162.159.40.87,4,1,0.75,76.49,0.00,N/A
162.159.48.149,4,1,0.75,82.00,0.00,N/A
162.159.36.235,4,1,0.75,82.50,0.00,N/A
162.159.25.37,4,1,0.75,82.60,0.00,N/A
162.159.43.4,4,1,0.75,84.44,0.00,N/A
162.159.32.241,4,1,0.75,85.16,0.00,N/A
162.159.33.27,4,1,0.75,86.83,0.00,N/A
162.159.27.236,4,1,0.75,87.16,0.00,N/A
104.18.43.41,4,1,0.75,87.63,0.00,N/A
104.18.36.150,4,1,0.75,96.76,0.00,N/A
162.159.26.26,4,1,0.75,100.94,0.00,N/A
104.18.42.212,4,1,0.75,102.51,0.00,N/A
172.64.53.46,4,1,0.75,108.30,0.00,N/A
104.18.46.46,4,1,0.75,126.36,0.00,N/A
104.19.101.4,4,1,0.75,139.29,0.00,N/A
104.19.96.87,4,1,0.75,140.03,0.00,N/A
